date,time,conversation
2020-05-21,14:52:35,Sorry ! I did not get that. Could you please type it out ?
2020-05-21,14:55:27,user : tell me a joke
2020-05-21,14:55:48,user : that would be all
2020-05-21,14:57:58,Good Afternoon
2020-05-21,14:58:09,user : that would be
2020-05-21,14:58:19,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,14:58:35,jarvis : that would be all
2020-05-21,15:06:48,jarvis : Good Afternoon
2020-05-21,15:06:50,jarvis : jarvis here
2020-05-21,15:06:53,jarvis : What would you like me to do for you?
2020-05-21,15:07:02,user : tell me a joke
2020-05-21,15:07:06,jarvis : Okay. Here's one
2020-05-21,15:07:12,jarvis : What do you call a dad that has fallen through the ice? A Popsicle.
2020-05-21,15:07:19,user : that would be all
2020-05-21,15:26:41,jarvis : Good Afternoon
2020-05-21,15:26:43,jarvis : jarvis here
2020-05-21,15:26:46,jarvis : What would you like me to do for you?
2020-05-21,15:26:50,user : what is the temperature
2020-05-21,15:26:56,
2020-05-21,15:27:01,
2020-05-21,15:27:01,jarvisNone
2020-05-21,15:27:47,user : play music play music
2020-05-21,15:27:50,jarvis : Here's your music. Enjoy !
2020-05-21,15:28:39,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,15:29:14,jarvis : Good Afternoon
2020-05-21,15:29:16,jarvis : jarvis here
2020-05-21,15:29:19,jarvis : What would you like me to do for you?
2020-05-21,15:29:58,user : search Jesus Christ Church
2020-05-21,15:30:00,jarvis : What should I search for ?
2020-05-21,15:30:09,user : Reva University
2020-05-21,15:30:09,jarvis : https://www.google.co.in/search?q=Reva University&oq=Reva University&gs_l=serp.12..0i71l8.0.0.0.6391.0.0.0.0.0.0.0.0..0.0....0...1c..64.serp..0.0.0.UiQhpfaBsuU
2020-05-21,15:30:21,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,15:30:42,jarvis : play on youtube
2020-05-21,15:30:45,jarvis : What should I look up for ?
2020-05-21,15:30:51,user : One Direction
2020-05-21,15:31:26,jarvis : Good Afternoon
2020-05-21,15:31:28,jarvis : jarvis here
2020-05-21,15:31:31,jarvis : What would you like me to do for you?
2020-05-21,15:31:55,user : play on YouTube
2020-05-21,15:31:57,jarvis : What should I look up for ?
2020-05-21,15:32:05,user : One Direction
2020-05-21,15:32:40,jarvis : Good Afternoon
2020-05-21,15:32:41,jarvis : jarvis here
2020-05-21,15:32:45,jarvis : What would you like me to do for you?
2020-05-21,15:32:49,user : play on YouTube
2020-05-21,15:32:52,jarvis : What should I look up for ?
2020-05-21,15:32:57,user : Mahatma Gandhi
2020-05-21,15:33:25,jarvis : Good Afternoon
2020-05-21,15:33:27,jarvis : jarvis here
2020-05-21,15:33:30,jarvis : What would you like me to do for you?
2020-05-21,15:33:43,user : joke joke
2020-05-21,15:33:47,jarvis : Okay. Here's one
2020-05-21,15:33:52,jarvis : What do you call a pig that knows karate? A pork chop!
2020-05-21,15:34:09,user : what is the temperature
2020-05-21,15:34:14,
2020-05-21,15:34:19,
2020-05-21,15:34:19,jarvisNone
2020-05-21,15:34:32,user : open Word
2020-05-21,15:34:49,jarvis : Successfully opened word
2020-05-21,15:35:02,user : send an email
2020-05-21,15:35:05,jarvis : whom would you like to send
2020-05-21,15:35:14,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,15:36:40,jarvis : Good Afternoon
2020-05-21,15:36:42,jarvis : jarvis here
2020-05-21,15:36:45,jarvis : What would you like me to do for you?
2020-05-21,15:37:07,user : send an email
2020-05-21,15:37:09,jarvis : whom would you like to send
2020-05-21,15:37:30,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,15:37:54,jarvis : jollyrklrgp@gmail.com
2020-05-21,15:37:54,user : jollyrklrgp@gmail.com
2020-05-21,15:37:56,jarvis : what would you like to send
2020-05-21,15:38:10,user : hello good evening how are you
